Time,Value,Value2,Detail
2021,10,0.5,Value = aid budget (£B)
2020,14.5,0.7,Value2 = % of GDP
2019,15.2,0.7,
2018,14.6,0.7,
2017,14.1,0.7,
2016,13.4,0.7,
2015,12.1,0.7,
2014,11.7,0.7,
2013,11.5,0.72,
